,2018,2019,2020,2021,2022,2023
National Capital Region,5814440130,6224134457,5599931197,5845619151,6268351531,6574340155
Cordillera Administrative Region,308267122,321722276,288876582,310765858,337753055,361078914
Ilocos,587597251,630362667,581877977,608618834,654835322,701468660
Cagayan Valley,385061271,411513567,371102979,389954561,421045562,447073156
Central Luzon,2062393875,2183779631,1881277315,2021186175,2184784695,2318428274
Calabarzon,2706994745,2831599919,2534444265,2728935837,2942514950,3095255701
Mimaropa,370744808,386783632,357780630,369725008,392967267,411434973
Bicol,522014835,564941774,517770299,540189747,583603946,610339864
Western Visayas,860107768,913909365,825369599,874086695,955136055,1024269862
Central Visayas,1180945761,1254113393,1134912345,1195978557,1287438109,1381172064
Eastern Visayas,444384029,469292504,434767718,461066832,492180254,523561133
Zamboanga Peninsula,379428020,396878798,376299326,397862811,427670777,447320967
Northern Mindanao,821122015,867432424,821433093,872805112,935273521,984750304
Davao,841429225,900885668,833225496,882189256,954232421,1018200795
Soccskargen,454304549,469982193,449247792,472510818,503656063,521184984
Caraga,290561794,306260878,285001928,305704709,323893245,339650679
Autonomous Region in Muslim Mindanao,235393060,249157465,244524738,262884259,280267918,292227757
