Region,Predicted_Housing_Water_Expenditure,Actual_Housing_Water_Expenditure,Average_Household_Income,Business_Potential_Score
Autonomous Region in Muslim Mindanao,17218.8,16717.624599972172,151731.47655489077,0.0
Bicol,30215.58,29405.865780391156,192944.43525501725,30.305145829515105
Cagayan Valley,31347.48,29500.461722897755,221328.63915053947,32.944445299416735
Calabarzon,47892.54,46636.2256097561,278359.57667682925,71.52326682737036
Caraga,25939.68,25374.33658945018,189615.1240580519,20.3348475669898
Central Luzon,45307.92,47325.66777408638,270846.3069398302,65.49659822069384
Central Visayas,40438.56,38040.19407894737,242181.97450657896,54.142503983782255
Cordillera Administrative Region,35502.0,37440.91061741152,239407.8324722294,42.631716642906206
Davao,27285.12,26826.05239843058,196914.13694469054,23.472067355649973
Eastern Visayas,26043.06,28270.754171799752,190266.9616978385,20.575903118892295
Ilocos,35776.56,33853.37444933921,244962.48017621145,43.27191989624677
Mimaropa,30450.9,27786.88537654403,204402.4835967592,30.85385150250499
National Capital Region,60105.18,71782.15819655922,334200.7681761255,100.0
Northern Mindanao,31658.16,29425.26998141264,206580.49767657992,33.66887109613821
Soccsksargen,24384.18,26272.374755654844,190374.62775760962,16.70782192388353
Western Visayas,36030.6,32654.401575598426,222690.26653873347,43.864275791055334
Zamboanga Peninsula,22907.22,21849.65690677205,183999.04652416022,13.263931346035736
