Region,Average_Household_Income,Average_Restaurant_Hotel_Expenditure,Average_Meat_Expenditure,Average_Fish_Expenditure,Average_Transportation_Expenditure,Average_Communication_Expenditure,Average_Total_Food_Expenditure,Actual_Restaurant_Expenditure,Predicted_Restaurant_Hotel_Expenditure,Business_Potential_Score
Autonomous Region in Muslim Mindanao,151731.47655489077,5611.783776262697,3095.148184221511,12516.95171838041,5741.538333101433,1374.1544455266453,73578.02782802282,5611.783776262697,6165.57,0.0
Bicol,192944.43525501725,10405.326089735396,11058.794835740764,11296.474753930717,8328.783842515659,2024.1536494950785,85515.3140738847,10405.326089735396,10182.18,15.216305037551974
Cagayan Valley,221328.63915053947,10069.390649083747,12795.455899982873,9041.02962836102,9515.28378146943,2693.2282925158415,77082.95958212022,10069.390649083747,8533.34,8.969930010323242
Calabarzon,278359.57667682925,27604.750152439025,15448.753963414634,10907.382012195121,15749.21981707317,5395.338109756098,106951.5112804878,27604.750152439025,23921.85,67.26691732883782
Caraga,189615.1240580519,7686.9681830867985,9433.296957856544,11920.215740999163,8720.011163829193,1953.6723416131733,78982.7824448786,7686.9681830867985,8889.65,10.319755272902913
Central Luzon,270846.3069398302,23353.74630860096,17251.57419712071,12846.467607973422,15442.327242524916,5218.856589147287,110713.05777039498,23353.74630860096,26271.21,76.16710390483676
Central Visayas,242181.97450657896,15813.722724780702,9424.96600877193,10229.590871710527,10671.318256578947,2899.189144736842,80976.68558114035,15813.722724780702,11038.9,18.461856099709244
Cordillera Administrative Region,239407.8324722294,6094.667140273831,10794.188840092998,7833.17566520279,10882.303539137174,3200.062257814518,74330.02324980625,6094.667140273831,12191.32,22.827620824533323
Davao,196914.13694469054,9094.174028603975,9338.414631059359,11048.236552335147,8634.24832299709,1867.1694722187065,75943.37488925453,9094.174028603975,9653.47,13.213369070055972
Eastern Visayas,190266.9616978385,6788.9435547093735,9299.97793705902,11452.706014111323,7702.248180087356,1890.0369582260053,79862.08477993056,6788.9435547093735,9831.27,13.886936838815386
Ilocos,244962.48017621145,20565.16244493392,13033.029185022026,9077.680983847284,10602.816079295155,3297.506607929515,87677.99577826726,20565.16244493392,12961.73,25.746199816265257
Mimaropa,204402.4835967592,8343.579226988975,9543.698897595963,10926.661043963342,8906.617080621596,1992.92841014743,76555.23070792934,8343.579226988975,9648.96,13.196283633401837
National Capital Region,334200.7681761255,35612.00968953925,17859.90059982862,12581.376046404324,16565.39015226419,7027.498516907257,123426.20255751105,35612.00968953925,32562.32,100.0
Northern Mindanao,206580.49767657992,9069.222699814127,8530.626161710037,10058.635455390335,9348.032760223048,2690.4228624535317,73996.53287639405,9069.222699814127,9514.2,12.685766240162144
Soccsksargen,190374.62775760962,11369.534208321698,7743.138927673834,11756.92990784697,10233.038536721586,2307.355208042446,81964.91817927953,11369.534208321698,9512.85,12.680651974201371
Western Visayas,222690.26653873347,11107.559842440158,10132.291384708615,12481.046863953135,10616.403999596001,2981.923644076356,85244.71063528936,11107.559842440158,11842.34,21.505564131948063
Zamboanga Peninsula,183999.04652416022,6542.3835099694625,6703.43218968924,12340.081372372912,7055.698221663373,1804.9739536554698,74437.04508712052,6542.3835099694625,7279.12,4.218511748605416
