Name,Status,Population Census 1990,Population Census 2000,PopulationCensus2010-05-01,Population Census 2015,Population Census 2020
Abra,Province,"184,743","209,491","234,733","241,160","250,985"
Bangued,Municipality,"34,184","38,965","43,936","48,163","50,382"
Boliney,Municipality,"3,773","3,340","4,063","3,573","4,551"
Bucay,Municipality,"13,346","14,881","17,126","17,115","17,953"
Bucloc,Municipality,"1,932","2,109","2,176","2,501","2,395"
Daguioman,Municipality,"1,413","1,748","1,715","2,088","2,019"
Danglas,Municipality,"3,042","4,144","4,734","4,192","4,074"
Dolores,Municipality,"8,577","9,949","11,499","11,315","11,512"
Lacub,Municipality,"2,326","2,782","2,977","3,403","3,612"
Lagangilang,Municipality,"11,248","12,073","13,824","14,255","14,914"
Lagayan,Municipality,"3,771","3,894","4,477","4,499","4,488"
Langiden,Municipality,"2,452","2,998","3,170","3,198","3,576"
La Paz,Municipality,"11,240","12,922","14,882","15,437","16,493"
Licuan-Baay (Licuan),Municipality,"3,697","3,812","4,864","4,689","4,566"
Luba,Municipality,"5,563","6,203","6,391","6,339","6,518"
Malibcong,Municipality,"3,494","3,806","3,807","3,428","4,027"
Manabo,Municipality,"7,797","9,643","10,756","10,761","11,611"
Peñarrubia,Municipality,"4,893","5,515","6,544","6,640","6,951"
Pidigan,Municipality,"8,807","10,183","11,528","12,185","12,475"
Pilar,Municipality,"8,451","9,328","9,908","10,223","10,146"
Sallapadan,Municipality,"4,941","5,497","5,985","6,622","6,389"
San Isidro,Municipality,"3,744","4,293","4,888","4,574","4,745"
San Juan,Municipality,"8,445","8,821","10,546","9,867","10,688"
San Quintin,Municipality,"4,293","5,130","5,233","5,438","5,705"
Tayum,Municipality,"11,045","12,539","13,940","14,467","14,869"
Tineg,Municipality,"3,068","4,995","4,668","5,097","4,977"
Tubo,Municipality,"4,589","5,044","5,719","5,699","5,674"
Villaviciosa,Municipality,"4,612","4,877","5,377","5,392","5,675"
Albay,Province,"903,785","1,090,907","1,233,432","1,314,826","1,374,768"
Bacacay,Municipality,"49,202","58,357","65,724","68,906","72,485"
Camalig,Municipality,"49,975","58,141","63,585","66,904","72,042"
Daraga (Locsin),Municipality,"83,928","101,031","115,804","126,595","133,893"
Guinobatan,Municipality,"58,926","71,071","75,967","82,361","85,786"
Jovellar,Municipality,"14,884","17,357","16,899","17,308","17,795"
Legazpi,City,"121,116","157,010","182,201","196,639","209,533"
Libon,Municipality,"59,910","66,213","71,527","75,172","75,073"
Ligao,City,"72,560","90,603","104,914","111,399","118,096"
Malilipot,Municipality,"24,160","29,541","35,567","37,785","40,857"
Malinao,Municipality,"31,349","36,231","42,770","45,301","47,395"
Manito,Municipality,"16,011","20,420","22,819","24,707","26,162"
Oas,Municipality,"53,061","62,063","64,785","67,960","66,084"
Pio Duran,Municipality,"36,859","44,423","45,028","46,693","49,070"
Polangui,Municipality,"61,556","70,451","82,307","88,221","89,176"
Rapu-Rapu,Municipality,"26,232","29,176","35,875","36,920","36,151"
Santo Domingo (Libog),Municipality,"22,939","27,392","32,414","34,967","37,765"
Tabaco,City,"85,697","107,166","125,083","133,868","140,961"
Tiwi,Municipality,"34,658","44,261","50,163","53,120","56,444"
Apayao,Province,"74,720","97,129","112,636","119,184","124,366"
Calanasan (Bayag),Municipality,"10,699","12,806","11,568","12,604","12,550"
Conner,Municipality,"16,220","20,429","24,811","26,051","27,552"
Flora,Municipality,"10,810","14,860","16,743","17,391","17,944"
Kabugao,Municipality,"11,198","13,985","16,170","15,537","16,215"
Luna,Municipality,"10,550","14,154","18,029","19,063","21,297"
Pudtol,Municipality,"7,621","11,039","13,305","14,925","15,491"
Santa Marcela,Municipality,"7,622","9,856","12,010","13,613","13,317"
Aurora,Province,"139,573","173,797","201,233","214,336","235,750"
Baler,Municipality,"24,689","29,923","36,010","39,562","43,785"
Casiguran,Municipality,"18,388","21,459","23,865","24,313","26,564"
Dilasag,Municipality,"11,195","14,676","15,683","15,835","17,102"
Dinalungan,Municipality,"6,770","9,711","10,988","11,322","12,508"
Dingalan,Municipality,"14,475","20,157","23,554","25,482","27,878"
Dipaculao,Municipality,"18,951","23,064","27,729","29,736","33,131"
Maria Aurora,Municipality,"28,378","33,551","38,128","40,734","44,958"
San Luis,Municipality,"16,740","21,256","25,276","27,352","29,824"
Bataan,Province,"425,803","557,659","687,482","760,650","853,373"
Abucay,Municipality,"26,708","31,801","37,719","39,880","42,984"
Bagac,Municipality,"18,241","22,353","25,568","26,936","31,365"
Balanga,City,"51,512","71,088","87,920","96,061","104,173"
Dinalupihan,Municipality,"58,172","76,145","97,275","106,371","118,209"
Hermosa,Municipality,"34,633","46,254","56,997","65,862","77,443"
Limay,Municipality,"32,629","46,620","57,207","68,071","78,272"
Mariveles,Municipality,"60,761","85,779","112,707","127,536","149,879"
Morong,Municipality,"17,155","21,273","26,171","29,901","35,394"
Orani,Municipality,"43,494","52,501","61,099","66,909","70,342"
Orion,Municipality,"35,263","44,067","51,454","56,002","60,771"
Pilar,Municipality,"25,244","32,368","39,787","41,823","46,239"
Samal,Municipality,"21,991","27,410","33,578","35,298","38,302"
Batanes,Province,"15,026","16,467","16,604","17,246","18,831"
Basco,Municipality,"5,729","6,717","7,907","8,579","9,517"
Itbayat,Municipality,"3,448","3,616","2,988","2,867","3,128"
Ivana,Municipality,"1,190","1,293","1,249","1,327","1,407"
Mahatao,Municipality,"1,724","1,895","1,583","1,555","1,703"
Sabtang,Municipality,"1,737","1,678","1,637","1,621","1,696"
Uyugan,Municipality,"1,198","1,268","1,240","1,297","1,380"
Batangas,Province,"1,476,783","1,905,348","2,377,395","2,694,335","2,908,494"
Agoncillo,Municipality,"20,227","26,584","35,794","38,059","39,101"
Alitagtag,Municipality,"16,016","20,192","23,649","25,300","26,819"
Balayan,Municipality,"53,870","67,170","81,805","90,699","95,913"
Balete,Municipality,"11,678","15,792","20,214","22,661","24,055"
Batangas,City,"184,970","247,588","305,607","329,874","351,437"
Bauan,Municipality,"59,258","72,604","81,351","91,297","90,819"
Calaca,City,"45,377","58,489","70,521","81,859","87,361"
Calatagan,Municipality,"35,543","45,068","51,997","56,449","58,719"
Cuenca,Municipality,"20,176","25,642","31,236","32,783","36,235"
Ibaan,Municipality,"31,220","40,165","48,482","52,970","58,507"
Laurel,Municipality,"22,099","27,604","35,674","39,444","43,210"
Lemery,Municipality,"53,932","66,528","81,825","93,157","93,186"
Lian,Municipality,"31,296","39,129","45,943","52,660","56,280"
Lipa,City,"160,117","218,447","283,468","332,386","372,931"
Lobo,Municipality,"26,881","33,909","37,070","41,504","40,736"
Mabini,Municipality,"30,474","37,474","44,391","46,211","50,858"
Malvar,Municipality,"24,253","32,691","45,952","56,270","64,379"
Mataasnakahoy,Municipality,"15,240","20,706","27,177","29,187","30,621"
Nasugbu,Municipality,"75,515","96,113","122,483","134,113","136,524"
Padre Garcia,Municipality,"25,958","34,504","44,877","48,302","51,853"
Rosario,Municipality,"66,923","86,110","105,561","116,764","128,352"
San Jose,Municipality,"38,680","51,965","68,517","76,971","79,868"
San Juan,Municipality,"67,741","78,169","94,291","108,585","114,068"
San Luis,Municipality,"22,143","26,924","30,701","33,149","36,172"
San Nicolas,Municipality,"13,174","16,278","20,599","22,623","23,908"
San Pascual,Municipality,"34,629","49,041","59,598","65,424","69,009"
Santa Teresita,Municipality,"12,005","14,074","17,415","21,127","21,559"
Santo Tomas,Municipality,"58,209","80,393","124,740","179,844","218,500"
Taal,Municipality,"34,925","43,455","51,503","56,327","61,460"
Talisay,Municipality,"23,153","32,465","39,600","45,301","46,238"
Tanauan,City,"92,754","117,539","152,393","173,366","193,936"
Taysan,Municipality,"22,508","29,836","35,357","38,007","40,146"
Tingloy,Municipality,"15,430","17,028","16,870","17,919","19,215"
Tuy,Municipality,"30,409","35,672","40,734","43,743","46,519"
Benguet (incl. Baguio City),Province,"485,857","582,515","722,620","791,590","827,041"
Atok,Municipality,"13,853","16,657","19,242","19,668","19,218"
Baguio,City,"183,102","252,386","318,676","345,366","366,358"
Bakun,Municipality,"10,817","12,213","13,587","15,357","14,535"
Bokod,Municipality,"11,474","11,705","12,648","13,756","14,435"
Buguias,Municipality,"25,236","33,177","39,271","43,627","44,877"
Itogon,Municipality,"61,773","46,705","55,960","59,820","61,498"
Kabayan,Municipality,"10,306","12,344","13,588","15,260","15,806"
Kapangan,Municipality,"15,537","18,137","20,084","19,361","19,297"
Kibungan,Municipality,"12,753","15,036","16,850","17,292","17,051"
La Trinidad,Municipality,"48,252","67,963","107,188","129,133","137,404"
Mankayan,Municipality,"32,889","34,502","35,586","35,953","37,233"
Sablan,Municipality,"8,440","9,652","10,511","11,457","11,588"
Tuba,Municipality,"39,635","38,366","42,874","47,648","48,312"
Tublay,Municipality,"11,479","13,672","16,555","17,892","19,429"
Bulacan,Province,"1,505,219","2,234,088","2,924,433","3,292,071","3,708,890"
Angat,Municipality,"34,494","46,033","55,332","59,237","65,617"
Balagtas (Bigaa),Municipality,"42,658","56,945","65,440","73,929","77,018"
Baliwag (Baliuag),City,"89,719","119,675","143,565","149,954","168,470"
Bocaue,Municipality,"67,243","86,994","106,407","119,675","141,412"
Bulacan (Bulakan),Municipality,"48,770","62,903","71,751","76,565","81,232"
Bustos,Municipality,"34,965","47,091","62,415","67,039","77,199"
Calumpit,Municipality,"59,042","81,113","101,068","108,757","118,471"
Doña Remedios Trinidad,Municipality,"8,614","13,636","19,878","22,663","28,656"
Guiguinto,Municipality,"44,532","67,571","90,507","99,730","113,415"
Hagonoy,Municipality,"90,212","111,425","125,689","129,807","133,448"
Malolos,City,"125,178","175,291","234,945","252,074","261,189"
Marilao,Municipality,"56,361","101,017","185,624","221,965","254,453"
Meycauayan,City,"123,982","163,037","199,154","209,083","225,673"
Norzagaray,Municipality,"33,485","76,978","103,095","111,348","136,064"
Obando,Municipality,"46,346","52,906","58,009","59,197","59,978"
Pandi,Municipality,"32,648","48,088","66,650","89,075","155,115"
Paombong,Municipality,"32,052","41,077","50,940","53,294","55,696"
Plaridel,Municipality,"52,954","80,481","101,441","107,805","114,432"
Pulilan,Municipality,"48,199","68,188","85,844","97,323","108,836"
San Ildefonso,Municipality,"59,598","79,956","95,000","104,471","115,713"
