Name,Status,Population Census 1990,Population Census 2000,Population Census 2010,Population Census 2015,Population Census 2020
Agusan del Norte ( incl. City of Butuan ),Province,"465,458","552,849","642,196","691,566","760,413"
Buenavista,Municipality,"39,331","50,612","56,139","61,614","68,892"
Butuan,City,"227,829","267,279","309,709","337,063","372,910"
Cabadbaran,City,"46,370","55,006","69,241","73,639","80,354"
Carmen,Municipality,"15,503","17,307","19,781","20,839","23,172"
Jabonga,Municipality,"18,610","20,501","23,833","23,184","24,855"
Kitcharao,Municipality,"13,598","15,950","17,377","18,659","21,278"
Las Nieves,Municipality,"15,409","21,530","26,856","28,414","30,240"
Magallanes,Municipality,"16,211","19,895","21,481","21,007","22,293"
Nasipit,Municipality,"34,084","35,817","40,663","41,957","44,822"
Remedios T. Romualdez,Municipality,"10,490","13,359","15,735","16,058","17,155"
Santiago,Municipality,"12,775","17,925","20,955","24,200","28,657"
Tubay,Municipality,"15,248","17,668","20,426","24,932","25,785"
Agusan del Sur,Province,"420,763","559,294","656,418","700,653","739,367"
Bayugan,City,"78,725","93,623","99,361","103,202","109,499"
Bunawan,Municipality,"21,105","26,704","37,482","45,151","47,512"
Esperanza,Municipality,"36,139","44,151","51,897","54,801","59,353"
La Paz,Municipality,"16,144","20,880","28,562","28,217","30,969"
Loreto,Municipality,"21,133","31,365","39,474","42,501","43,880"
Prosperidad,Municipality,"51,189","70,815","76,628","82,631","88,321"
Rosario,Municipality,"25,436","28,675","38,280","46,683","49,610"
San Francisco,Municipality,"43,878","56,968","70,986","74,542","80,760"
San Luis,Municipality,"18,521","25,901","32,733","32,109","35,196"
Santa Josefa,Municipality,"11,392","22,730","25,156","26,729","26,432"
Sibagat,Municipality,"24,004","28,685","30,985","30,442","33,957"
Talacogon,Municipality,"21,655","30,879","37,224","38,374","39,678"
Trento,Municipality,"31,313","41,696","47,193","51,565","54,492"
Veruela,Municipality,"20,129","36,222","40,457","43,706","39,708"
Basilan,Province,"179,230","259,796","293,322","346,579","426,207"
Akbar,Municipality,...,"10,581","13,369","17,531","23,098"
Al-Barka,Municipality,...,"17,189","19,523","20,905","23,736"
Hadji Mohammad Ajul,Municipality,...,"14,540","15,962","19,307","24,625"
Hadji Muhtamad,Municipality,...,"9,281","12,249","25,085","26,867"
Lamitan,City,"50,605","58,709","68,996","74,782","100,150"
Lantawan,Municipality,"19,340","18,206","20,087","24,594","31,040"
Maluso,Municipality,"18,666","31,054","33,803","40,646","45,730"
